dept_id,dept_name,dept_campus,salary_total,avg_salary,avg_salary_m,avg_salary_f,avg_salary_unknown_gender,expenses_total,avg_expenses,avg_emp_rating,num_ratings,num_employees,female_count,male_count,no_gender_count
39,"The Sauder School Of Business",NULL,31954137,193661.4364,214829.2588,148588.3750,193752.8750,1745556,10579.1273,NULL,0,165,40,85,40
20,"Physics & Astronomy",NULL,9645709,141848.6618,144374.6327,146566.5000,122854.1111,484447,7124.2206,NULL,0,68,10,49,9
7,"Computer Science",NULL,9573347,147282.2615,153039.0698,135673.0000,136459.1000,419028,6446.5846,4.0000,1,65,12,43,10
67,"Popultn&Publichealth,Schoolof",NULL,9499323,158322.0500,174192.1429,141104.3043,152949.3333,362993,6049.8833,NULL,0,60,23,28,9
115,Paediatrics,NULL,9362177,161416.8448,192031.0400,132137.2273,150398.3636,335106,5777.6897,NULL,0,58,22,25,11
15,Mathematics,NULL,9112244,138064.3030,150209.6667,127158.3750,122155.8636,286680,4343.6364,NULL,0,66,8,36,22
1,Electrical&Computerengineering,NULL,8619894,156725.3455,155713.5122,153625.6667,161342.0909,536883,9761.5091,NULL,0,55,3,41,11
22,"Faculty Of Law",NULL,8427249,171984.6735,177142.5000,163324.9048,181822.0000,365032,7449.6327,NULL,0,49,21,20,8
45,Pathology,NULL,8239696,191620.8372,227787.1429,168356.4444,149304.4615,276274,6424.9767,NULL,0,43,9,21,13
43,"Earth And Ocean Sciences",NULL,8045326,127703.5873,130064.5122,109242.8571,147910.1250,443907,7046.1429,NULL,0,63,14,41,8
13,Chemistry,NULL,7975853,132930.8833,145469.6667,116206.6667,112038.7500,318787,5313.1167,NULL,0,60,12,36,12
18,Economics,NULL,7924222,158484.4400,170514.3548,121462.1667,168675.8571,215630,4312.6000,NULL,0,50,12,31,7
33,"Fac.Of Pharmaceutical Sciences",NULL,7418040,130141.0526,138788.7500,121536.0500,122359.3333,207885,3647.1053,NULL,0,57,20,28,9
40,English,NULL,7003823,122874.0877,118173.9600,120522.2083,144617.6250,227816,3996.7719,NULL,0,57,24,25,8
51,Psychiatry,NULL,6908063,168489.3415,196246.1000,148234.0833,133814.6667,304445,7425.4878,NULL,0,41,12,20,9
9,"Medical Genetics",NULL,6623199,169825.6154,172542.1500,170043.3077,160298.8333,158246,4057.5897,NULL,0,39,13,20,6
21,"Development Office",NULL,6533822,112652.1034,107105.6364,113161.0000,118460.0000,335179,5778.9483,NULL,0,58,40,11,7
35,Psychology,NULL,6452115,140263.3696,148032.5909,134610.9444,128733.5000,240422,5226.5652,NULL,0,46,18,22,6
71,Surgery,NULL,6088699,121773.9800,128890.7222,103920.9000,102356.0000,129205,2584.1000,NULL,0,50,10,36,4
6,Cellular&Physiologicalsciences,NULL,6022011,146878.3171,159953.6000,123208.1000,131848.3333,174489,4255.8293,NULL,0,41,10,25,6
4,Zoology,NULL,5973996,138930.1395,146289.7083,129465.1250,130533.6667,164103,3816.3488,NULL,0,43,16,24,3
19,"Nursing, School Of",NULL,5721019,121723.8085,141785.5000,125753.4286,103607.8000,348201,7408.5319,NULL,0,47,35,2,10
52,"Eductnl&Cnslng Psych & Spec Ed",NULL,5687867,132275.9767,140325.6923,130976.4091,122769.0000,172246,4005.7209,NULL,0,43,22,13,8
84,"Family Practice",NULL,5357853,140996.1316,148837.3125,142026.9333,120864.5714,215005,5658.0263,NULL,0,38,15,16,7
165,"Oral Biological & Medical Sci",NULL,4931569,145046.1471,164765.8667,116645.1000,143736.6667,167754,4933.9412,NULL,0,34,10,15,9
11,Botany,NULL,4677665,126423.3784,131720.4211,119164.3636,123452.7143,93600,2529.7297,NULL,0,37,11,19,7
14,"Civil Engineering",NULL,4533654,151121.8000,155785.0000,125540.2000,157403.2857,297031,9901.0333,NULL,0,30,5,18,7
81,"Political Science",NULL,4399821,141929.7097,149154.8000,136826.3333,92644.0000,195451,6304.8710,NULL,0,31,9,20,2
49,"Mechanical Engineering",NULL,4360538,140662.5161,143514.5500,141924.3333,133059.2500,217687,7022.1613,NULL,0,31,3,20,8
17,"Dept Of Curriculum & Pedagogy",NULL,4273815,133556.7188,150464.1333,119747.3571,113463.3333,243406,7606.4375,NULL,0,32,14,15,3
32,"Ubco-Faculty Of Appliedscience",NULL,4179532,119415.2000,123673.3158,111666.3333,115974.1000,196008,5600.2286,NULL,0,35,6,19,10
56,"Music, School Of",NULL,4083184,127599.5000,130712.7727,128569.1667,109022.0000,157893,4934.1563,NULL,0,32,6,22,4
36,"Oral Health Sciences",NULL,4042586,149725.4074,148882.7273,154830.6154,130692.6667,118441,4386.7037,NULL,0,27,13,11,3
120,"Biochemistry&Molecular Biology",NULL,3994597,133153.2333,140201.6842,121798.0000,119995.4000,105295,3509.8333,NULL,0,30,6,19,5
73,"Ubco - Critical Studies",NULL,3948157,106706.9459,110730.5882,100708.0000,113602.2500,94369,2550.5135,NULL,0,37,16,17,4
191,"Respiratory Medicine Division",NULL,3912157,170093.7826,183615.2500,111875.4000,207468.0000,86899,3778.2174,NULL,0,23,5,16,2
226,"Medicine - Dean'S Office",NULL,3906100,186004.7619,239554.2000,106404.2500,154991.5714,266390,12685.2381,NULL,0,21,4,10,7
55,"Language & Literacy Education",NULL,3855948,142812.8889,158606.7778,130824.5385,145553.6000,132600,4911.1111,NULL,0,27,13,9,5
26,"Dept Of Educational Studies",NULL,3835513,127850.4333,129154.1667,135845.2222,118117.3333,132313,4410.4333,NULL,0,30,9,12,9
119,"Neurology Division",NULL,3786259,135223.5357,144243.5000,120162.5000,134258.3333,124876,4459.8571,NULL,0,28,8,14,6
70,"Ubc It - It Application Devlp",NULL,3771935,99261.4474,111572.7500,93071.1429,85471.8750,30572,804.5263,NULL,0,38,14,16,8
41,"Obstetrics & Gynaecology",NULL,3766441,134515.7500,106504.0000,141284.4444,153634.5000,240949,8605.3214,NULL,0,28,9,9,10
152,History,NULL,3742034,120710.7742,120419.6667,119561.2727,124113.0000,212828,6865.4194,NULL,0,31,11,15,5
107,Geography,NULL,3722521,143173.8846,151223.6471,112703.5000,250091.0000,202072,7772.0000,NULL,0,26,8,17,1
127,Microbiology,NULL,3649789,135177.3704,142074.2500,111656.7500,132853.4286,80319,2974.7778,NULL,0,27,4,16,7
125,"Human Resources",NULL,3568158,108126.0000,101180.7500,112633.3333,98353.0000,67258,2038.1212,NULL,0,33,21,8,4
109,"Chemical&Biological Engineerng",NULL,3567086,137195.6154,149883.5455,116344.8333,135588.6667,147025,5654.8077,NULL,0,26,6,11,9
