faculty_id,faculty_name,salary_total,avg_salary,avg_salary_m,avg_salary_f,avg_salary_unknown_gender,expenses_total,avg_expenses,avg_emp_rating,num_ratings,num_employees,female_count,male_count,no_gender_count
5,"Faculty of Medicine",105599040,143282.2795,155707.4441,127216.1266,137034.8582,3593087,4875.2877,3.7647,34,737,229,367,141
7,"Faculty of Arts",67934179,129893.2677,138268.2969,119593.5165,126723.2353,2396601,4582.4111,4.2901,131,523,182,256,85
4,"Faculty of Science",65600505,134980.4630,143980.9455,121752.1261,125187.4130,2483615,5110.3189,4.3761,117,486,119,275,92
3,"Faculty of Applied Science",36331901,139202.6858,146231.6444,128867.2985,134856.2712,2168432,8308.1686,3.4533,75,261,67,135,59
15,"Sauder School of Business",33386007,189693.2216,209880.9239,143791.9773,193752.8750,1886933,10721.2102,3.3556,45,176,44,92,40
6,"Faculty of Education",22869085,130680.4857,141038.8806,126979.6901,119024.9189,820139,4686.5086,4.4444,9,175,71,67,37
9,"Barber Arts and Sciences",16592837,116850.9648,119952.4390,112926.1000,111984.6500,500830,3526.9718,4.8333,6,142,40,82,20
13,"Faculty of Dentistry",10537264,138648.2105,155331.2333,128031.0000,127274.8125,368628,4850.3684,5.0000,1,76,30,30,16
11,"Faculty of Forestry",9206653,133429.7536,141584.5909,121527.3125,114721.5556,627476,9093.8551,2.7000,10,69,16,44,9
8,"Faculty of Law",8427249,171984.6735,177142.5000,163324.9048,181822.0000,365032,7449.6327,3.0000,2,49,21,20,8
12,"Faculty of Land and Food Systems",5980482,127244.2979,132958.1905,119869.4000,124354.1250,335871,7146.1915,3.5000,4,47,10,21,16
14,"Faculty of Creative and Critical Studies",3948157,106706.9459,110730.5882,100708.0000,113602.2500,94369,2550.5135,5.0000,3,37,16,17,4
16,"Faculty of Management",2274380,142148.7500,142376.2222,119758.6667,158429.5000,118170,7385.6250,1.0000,1,16,3,9,4
10,"Faculty of Health and Social Development",1741938,116129.2000,119071.3750,105076.2000,131993.0000,75204,5013.6000,NULL,0,15,5,8,2
18,"Faculty of Creative Studies",1450715,111593.4615,112815.2000,111248.0000,109575.5000,22815,1755.0000,NULL,0,13,6,5,2
17,"Faculty of Health",331622,165811.0000,165811.0000,NULL,NULL,44981,22490.5000,NULL,0,2,0,2,0
19,"Faculty of Pharmaceutical Sciences",82690,82690.0000,NULL,82690.0000,NULL,0,0.0000,NULL,0,1,1,0,0
