faculty_id,faculty_name
3,"Faculty of Applied Science"
4,"Faculty of Science"
5,"Faculty of Medicine"
6,"Faculty of Education"
7,"Faculty of Arts"
8,"Faculty of Law"
9,"Barber Arts and Sciences"
10,"Faculty of Health and Social Development"
11,"Faculty of Forestry"
12,"Faculty of Land and Food Systems"
13,"Faculty of Dentistry"
14,"Faculty of Creative and Critical Studies"
15,"Sauder School of Business"
16,"Faculty of Management"
17,"Faculty of Health"
18,"Faculty of Creative Studies"
19,"Faculty of Pharmaceutical Sciences"
